Line #,Process,Commit Stack,Commit Time (s),Decommit Time (s),Address,Count,Impacting Size (MB),Size (MB)
13682,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.586324500,8.963566800,0x00000173CE317000,1,0.000,0.125
13772,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.598744900,8.650274600,0x00000173CECFB000,1,0.000,0.059
13862,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.612894000,8.652295400,0x00000173CF763000,1,0.000,0.023
13952,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.626756000,8.650215800,0x00000173D019D000,1,0.000,0.008
14042,,"[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLNode::setInnerText/chaos_core.dll!Chaos::String::operator=/chaos_core.dll!std::basic_string<char,std::char_traits<char>,Chaos::AllocatorWithFixedPool<char,Chaos::StringPool> >::assign/chaos_core.dll!Chaos::AllocatorWithFixedPool<char,Chaos::StringPool>::allocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory",6.639664200,8.682923600,0x00000173D0B58000,1,0.000,0.098
14132,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.652500900,8.974104600,0x00000173D1531000,1,0.000,0.070
14222,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.666009700,8.653226400,0x00000173D1FAA000,1,0.000,0.199
14312,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.678991200,8.978152200,0x00000173D29AF000,1,0.000,0.090
14402,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.692013900,8.681530000,0x00000173D339C000,1,0.000,0.215
14492,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.705306900,8.981976100,0x00000173D3DD2000,1,0.000,0.113
14582,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.718128300,8.984675200,0x00000173D47CB000,1,0.000,0.086
14672,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.730701700,8.986535300,0x00000173D51A3000,1,0.000,0.016
14762,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::XMLNode::XMLNode/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_core.dll!Chaos::XMLPool::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.742528300,8.684327300,0x00000173D5AF1000,1,0.000,0.203
14852,,"[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLNode::setInnerText/chaos_core.dll!Chaos::String::operator=/chaos_core.dll!std::basic_string<char,std::char_traits<char>,Chaos::AllocatorWithFixedPool<char,Chaos::StringPool> >::assign/chaos_core.dll!Chaos::AllocatorWithFixedPool<char,Chaos::StringPool>::allocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory",6.756237800,8.709783100,0x00000173D652A000,1,0.000,0.059
14942,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.768998200,8.710097500,0x00000173D6EED000,1,0.000,0.051
15032,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.781525300,8.995359300,0x00000173D78D3000,1,0.000,0.055
15122,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::initialize/chaos_client.dll!Chaos::ClientRoot::initialise/chaos_common.dll!Chaos::Root::initialize/chaos_core.dll!Chaos::StringIDManager::dumpRuntimeStringIDMapFile/chaos_core.dll!Chaos::XMLSerializer::createNode/chaos_core.dll!Chaos::NodesAllocator<Chaos::XMLNode>::createInstance/chaos_core.dll!Chaos::MemoryPool::internal::AllocateHelper<Chaos::MemoryPool::Pool const >/chaos_mempool.dll!Chaos::MemoryPool::Pool::Allocate/chaos_mempool.dll!Chaos::PoolDefault::OnAllocate/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,6.793326000,8.997720700,0x00000173D8269000,1,0.000,0.102
